Sample_code,Method,Material ,Spike,Water_type,Replicate,N1_recoveries ,Phi6_recoveries,MeV_recoveries ,MNV_recoveries,NoVGII_recoveries,Flu-A_recoveries,Flu-B_recoveries ,AdV_recoveries,PMMoV_recoveries ,CrAss_recoveries
BE-T-S-DW-1,BE,T,S,DW,1,0.020443878,0.003496753,0.016589667,0.182063008,0.108855999,0.019317882,0.012647819,,,0
BE-T-S-DW-2,BE,T,S,DW,2,0.032894545,0.005207718,0.033110672,0.194420356,0.175670506,0.03609804,0.021297523,,,0.003759961
BE-T-S-DW-3,BE,T,S,DW,3,0.031760537,0.005052241,0.036950639,0.329947965,0.184247031,0.034298976,0.023070291,,,0.002140823
BE-W-S-DW-1,BE,W,S,DW,1,0.00015391,5.85E-06,0.000393684,1.21E-05,0.000810048,0.00022692,0.000114845,,,0
BE-W-S-DW-2,BE,W,S,DW,2,0.000931635,8.57E-05,0.000386341,0,0.000957984,0.000559882,0.000262197,,,0.001202759
D-T-S-DW-1-C,D,T,S,DW,1,0.041021743,0.010830826,0.035382736,0.188046163,0.089716453,0.04137892,0.022805052,,,0
D-T-S-DW-2-C,D,T,S,DW,2,0.044510388,0.009016122,0.054230226,0.313381808,0.042937111,0.061190759,0.03411417,,,0.020968239
D-T-S-DW-3-C,D,T,S,DW,3,0.05443169,0.014894605,0.078850218,0.399598456,0.056148136,0.07950157,0.042988997,,,0
D-W-S-DW-1-C,D,W,S,DW,1,0.002700298,0.000379087,0,0,0.00070823,0.002464019,0.001175278,,,0
D-W-S-DW-2-C,D,W,S,DW,2,0.002308736,0.000514067,0.001691113,0.00025387,0.000650316,0.002139178,0.000991723,,,0.009486158
D-W-S-DW-3-C,D,W,S,DW,3,0.003072958,0.000623698,0.003432369,0.001403191,0.000452824,0.004580818,0.001662027,,,0
N-T-S-DW-1,N,T,S,DW,1,0.060049682,0.00806141,0.040230192,0.065380429,0.104324033,0.041865176,0.019444023,,,0.053374078
N-T-S-DW-2,N,T,S,DW,2,0.081703035,0.01223586,0.059424869,0.133464219,0.20391144,0.034726118,0.019321219,,,0.001505384
N-T-S-DW-3,N,T,S,DW,3,0.06742249,0.010677731,0.032564204,0.10718842,0.098733919,0.025940925,0.014113777,,,0.000847676
N-W-S-DW-1,N,W,S,DW,1,7.18E-05,0,0,0,0,0.000100584,2.50E-05,,,0
N-W-S-DW-2,N,W,S,DW,2,3.77E-05,2.69E-05,0.000239125,0,0,8.69E-05,3.03E-05,,,4.290016853
N-W-S-DW-3,N,W,S,DW,3,4.24E-05,0,0,0,1.39E-05,7.89E-05,3.51E-05,,,0.009016204
P-T-S-DW-1,P,T,S,DW,1,0.131517624,0.007954843,0.09173913,0.423367916,0.612059219,0.09647987,0.053431631,,,0.003289266
P-T-S-DW-2,P,T,S,DW,2,0.098762689,0.009058137,0.074495646,0.444859171,0.551864887,0.10497391,0.063212967,,,0.892402116
P-T-S-DW-3,P,T,S,DW,3,0.104335193,0.011353042,0.064295272,0.548278019,0.43828904,0.09924559,0.056666419,,,0.004797298
P-W-S-DW-1,P,W,S,DW,1,0,0,0,0,6.44E-05,2.52E-06,0,,,0
P-W-S-DW-2,P,W,S,DW,2,4.70E-06,0,0,0,6.77E-05,1.34E-05,1.97E-06,,,0
P-W-S-DW-3,P,W,S,DW,3,0,0,0,0,0,2.28E-06,3.73E-06,,,0
BE-T-S-WW-1,BE,T,S,WW,1,0.001798893,0.000111649,0.007070271,,0.023839973,0.004133959,0.001081218,0.003830355,0.00705052,0.005085493
BE-T-S-WW-2,BE,T,S,WW,2,0.002392353,0.000226302,0.009817002,,0.02914677,0.007009202,0.00274915,0.00438764,0.007274571,0.003588922
BE-T-S-WW-3,BE,T,S,WW,3,0.005299054,0.001030885,0.012342718,,0.025630862,0.00642372,0.003701801,0.005447679,0.016055482,0.007771009
BE-W-S-WW-1,BE,W,S,WW,1,0.001664356,0.000375173,0.004976187,,0.007313541,0.002002834,0.001077378,0.001941792,0.004146678,0.00259701
BE-W-S-WW-2,BE,W,S,WW,2,0.00179208,0.000245468,0.002527699,,0.010586401,0.001848892,0.001229029,0.002340193,0.00378073,0.003051106
BE-W-S-WW-3,BE,W,S,WW,3,0.002298263,0.000429607,0.003350852,,0.007639873,0.001645507,0.001137575,0.00173076,0.003900595,0.00223893
D-T-S-WW-1,D,T,S,WW,1,0.006669586,0.001228509,0.014022555,,0.015485963,0.018206584,0.007503127,0.005873197,0.02322151,0.005988407
D-T-S-WW-2,D,T,S,WW,2,0.013133134,0.002335345,0.030476097,,0.026753264,0.039602807,0.019525673,0.00630094,0.03678677,0.008468347
D-T-S-WW-3,D,T,S,WW,3,0.005931788,0.001467618,0.012463893,,0.013888337,0.018487185,0.007656785,0.006227058,0.019186638,0.005196191
D-W-S-WW-1-C,D,W,S,WW,1,0.006985059,0.000797836,0.003535816,,0.001743234,0.006245879,0.002670517,0.002643091,0.005031206,0.001264306
D-W-S-WW-2-C,D,W,S,WW,2,0.013899181,0.001823852,0.011582867,,0.003353023,0.010478882,0.004839741,0.003439466,0.010598998,0.002556578
D-W-S-WW-3-C,D,W,S,WW,3,0.001963331,0.000155282,0.002382359,,0.00035545,0.001822218,0.000811461,0.001634871,0.002069081,0.000553293
N-T-S-WW-1,N,T,S,WW,1,0.05962732,0.001294433,0.029738345,,0.04918877,0.037055542,0.01758001,0.00079755,0.029584662,0.047896337
N-T-S-WW-2,N,T,S,WW,2,0.017765709,0.000371717,0.009410043,,0.015899793,0.013113797,0.005705932,0.000476421,0.013493568,0.00948759
N-T-S-WW-3,N,T,S,WW,3,0.052244573,0.001865199,0.03002659,,0.041839051,0.032521558,0.015979411,0.001407018,0.022785359,0.053199543
N-W-S-WW-1,N,W,S,WW,1,0.000221814,0,0.000628646,,0.000233193,0.000198736,6.26E-05,0.000177006,0.000225965,0.0002656
N-W-S-WW-2,N,W,S,WW,2,0.000294574,0,0,,0.000330415,0.000324346,9.64E-05,0.00033615,0.000414771,0.000500888
N-W-S-WW-3,N,W,S,WW,3,0.000338442,4.73E-06,0.00030957,,0.000496217,0.000192456,4.57E-05,0.000263024,0.000839924,0.000336294
P-T-S-WW-1,P,T,S,WW,1,0.000191572,0,0,,0.000571207,0.000332797,0.000132449,0.001348375,0.000720007,0.00065077
P-T-S-WW-2,P,T,S,WW,2,7.62E-05,2.87E-06,0,,6.42E-05,0.000117921,4.73E-05,0.000276973,0.000193071,0.000163493
P-T-S-WW-3,P,T,S,WW,3,0.000107026,0,0,,0.000330134,0.000190949,8.26E-05,0.000668705,0.000354364,0.000337944
P-W-S-WW-1,P,W,S,WW,1,0.003188942,0.000392208,0.011412237,,0.019988814,0.006992045,0.003255809,0.001800029,0.006255635,0
P-W-S-WW-2,P,W,S,WW,2,0.002304904,0.000578666,0.006274569,,0.019748397,0.006679057,0.003027853,0.001551075,0.007227754,0.007365465
P-W-S-WW-3,P,W,S,WW,3,0.001468931,0.000488238,0.004526629,,0.011789041,0.004925898,0.002301345,0.001651529,0.006652937,0.00436687
BE-T-U-DW-1,BE,T,U,DW,1,,0,,,,,,,,0.595103783
BE-T-U-DW-2,BE,T,U,DW,2,,0,,,,,,,,0
BE-T-U-DW-3,BE,T,U,DW,3,,6.41E-05,,,,,,,,0.000519855
BE-W-U-DW-1,BE,W,U,DW,1,,9.77E-06,,,,,,,,0.026059321
BE-W-U-DW-2,BE,W,U,DW,2,,0,,,,,,,,0
BE-W-U-DW-3,BE,W,U,DW,3,,0,,,,,,,,0.000377442
D-T-U-DW-1-C,D,T,U,DW,1,,0,,,,,,,,0.022164929
D-T-U-DW-2-C,D,T,U,DW,2,,0,,,,,,,,0.006306645
D-T-U-DW-3-C,D,T,U,DW,3,,0,,,,,,,,0.024999989
D-W-U-DW-1-C,D,W,U,DW,1,,0,,,,,,,,0.003196709
D-W-U-DW-2-C,D,W,U,DW,2,,0,,,,,,,,0
D-W-U-DW-3-C,D,W,U,DW,3,,0,,,,,,,,0.003883533
N-T-U-DW-1,N,T,U,DW,1,,0,,,,,,,,0.034019874
N-T-U-DW-2,N,T,U,DW,2,,0,,,,,,,,0.006352686
N-T-U-DW-3,N,T,U,DW,3,,0,,,,,,,,0.050199496
N-W-U-DW-1,N,W,U,DW,1,,0,,,,,,,,0.002446705
N-W-U-DW-2,N,W,U,DW,2,,0,,,,,,,,1.494082963
N-W-U-DW-3,N,W,U,DW,3,,0,,,,,,,,0.001596172
P-T-U-DW-1,P,T,U,DW,1,,0,,,,,,,,0
P-T-U-DW-2,P,T,U,DW,2,,0,,,,,,,,0
P-T-U-DW-3,P,T,U,DW,3,,0,,,,,,,,0
P-W-U-DW-1,P,W,U,DW,1,,0,,,,,,,,0
P-W-U-DW-2,P,W,U,DW,2,,0,,,,,,,,0
P-W-U-DW-3,P,W,U,DW,3,,0,,,,,,,,0
BE-T-U-WW-1,BE,T,U,WW,1,0.00419056,0,,,0.016685903,0,,0.002695765,0.005038007,0.003908779
BE-T-U-WW-2,BE,T,U,WW,2,0.000875815,0,,,0.019918355,0,,0.00247061,0.003715665,0.004227189
BE-T-U-WW-3,BE,T,U,WW,3,0.003795103,0,,,0.021488554,0,,0.001416904,0.004954047,0.001928338
BE-W-U-WW-1,BE,W,U,WW,1,0.000759635,0,,,0.004019331,0,,0.001115608,0.002365936,0.001336739
BE-W-U-WW-2,BE,W,U,WW,2,0.002715416,2.47E-06,,,0.001384692,0,,0.000825297,0.002128714,0.000796984
BE-W-U-WW-3,BE,W,U,WW,3,0.008870694,0,,,0.004852507,0,,0.001227978,0.004225981,0.001645229
D-T-U-WW-1-C,D,T,U,WW,1,0.004135738,0,,,0.009964768,0,,0.0034285,0.01135952,0.003675639
D-T-U-WW-2-C,D,T,U,WW,2,0.016145569,0,,,0.024489791,0,,0.004332848,0.025397073,0.006101122
D-T-U-WW-3-C,D,T,U,WW,3,0.012685124,0,,,0.018871899,0,,0.004413143,0.022929241,0.006946586
D-W-U-WW-1-C,D,W,U,WW,1,0.006111404,0,,,0.000735423,0,,0.001288072,0.002485659,0.000578164
D-W-U-WW-2-C,D,W,U,WW,2,0.001268339,0,,,0.000713194,0,,0.000707169,0.001783626,0.000355874
D-W-U-WW-3-C,D,W,U,WW,3,0.015518758,0,,,0.001416974,0,,0.0040007,0.003057985,0.000939461
N-T-U-WW-1,N,T,U,WW,1,0.018992832,4.90E-07,,,0.044505409,0,,0.00069039,0.021611034,0.022521628
N-T-U-WW-2,N,T,U,WW,2,0.010156489,0,,,0,0,,9.90E-06,0.089599487,0.049959103
N-T-U-WW-3,N,T,U,WW,3,0.015978309,0,,,0.036676862,0.043961209,,0.002078643,0.028220972,0.040388648
N-W-U-WW-1,N,W,U,WW,1,0,0,,,0.000166048,0.030622201,,0.000116567,0.000360707,0.000179057
N-W-U-WW-2,N,W,U,WW,2,0,0,,,0.000349457,7.186227032,,0.000219656,0.000654523,0.000462451
N-W-U-WW-3,N,W,U,WW,3,0.002685254,0.001480089,,,0.00012771,3.184428634,,4.36E-05,0.00012598,0.000106156
P-T-U-WW-1,P,T,U,WW,1,0.004689071,0,,,0.011598379,0,,0.002412584,0.008163976,0
P-T-U-WW-2,P,T,U,WW,2,0.00407103,0,,,0.011481402,0,,0.003100244,0.008596579,0
P-T-U-WW-3,P,T,U,WW,3,0.005074753,0,,,0.010240258,0,,0.00227785,0.006022569,0
P-W-U-WW-1,P,W,U,WW,1,0,0,,,5.79E-05,0,,0.000292989,0.000275273,0.000161146
P-W-U-WW-2,P,W,U,WW,2,0,0,,,0.001029214,0,,0.000276125,0.00027854,0.00020126
P-W-U-WW-3,P,W,U,WW,3,0,0,,,0.000362557,0,,0.000245496,0.000226165,0.000208653
